Key,"English, en-US","French, fr","Hindi (India), hi_IN","Romanian (Romania), ro_RO"
active,"Active","Actif","सक्रिय","Activ"
activeBookingsOutOf,"Active bookings ({count} out of {capacity})","Réservations actives ({count} sur {capacity})","सक्रिय बुकिंग ({count} में से {capacity})","Rezervări Active ({count} din {capacity})"
activities,"Activities","Activités","गतिविधियाँ","Activitati"
addAltText,"Add alt text","Ajouter un texte alternatif","एल्ट टेक्स्ट जोड़ें","Adauga text alternativ"
addFilter,"Add {filter}","Ajouter {filter}","{फ़िल्टर} जोड़ें","Adauga {filter}"
addMediaFromUrl,"Add media from URL","Ajouter des médias depuis une URL","URL से मीडिया जोड़ें","Adaugati conținut media de la URL"
addMember,"Add Member","Ajouter un membre","सदस्य जोड़ें","Adauga membru"
addNew,"Add new","Ajouter un nouveau","नया जोड़ें","Adauga nou"
addPaymentMethod,"Add payment method","Ajouter un mode de paiement","भुगतान तरीका जोड़ें","Adaugati metoda de plata"
addPhotoFromUrl,"Add photo from URL","Ajouter une photo depuis une URL","URL से फ़ोटो जोड़ें","Adaugati o fotografie de la URL"
addressLine1,"Address Line 1","Adresse ligne 1","पता लाइन १","Adresa Linia 1"
addressLine2,"Address Line 2","Adresse ligne 2","पता लाइन २","Adresa Linia 2"
addStandby,"Add Standby","Ajouter en liste d'attente","इंतजार में जोड़ें","Adăugati pe lista de asteptare"
addToCart,"Add to Cart","Ajouter au panier","कार्ट में जोड़ें","Adauga in cos"
Admin Login,"Admin Login","Connexion Admin","व्यवस्थापक लॉगिन","Logare admin"
announcements.noData,"No announcements available","Aucune annonce disponible","कोई घोषणाएँ उपलब्ध नहीं हैं","Nu sunt anunțuri disponibile"
appSettings,"App Settings","Paramètres de l'application","एप्लिकेशन सेटिंग्स","Setari Aplicatie"
appSettingsDesc,"Here you can configure your timezone and date formatting that will apply to all of the control panel.","Ici, vous pouvez configurer votre fuseau horaire et le format de date qui s'appliquera à l'ensemble du panneau de contrôle.","यहाँ पर आप अपना समय क्षेत्र और तिथि स्वरूपन कॉन्फ़िगर कर सकते हैं जो कि सभी नियंत्रण पैनल पर लागू होगा।","Aici puteți configura fusul orar și formatul datei care se vor aplica întregului panou de control."
archived,"Archived","Archivé","संग्रहीत","Arhivat"
attachFile,"Attach file","Joindre un fichier","फ़ाइल संलग्न करें","Ataseaza fisier"
attachment,"Attachment","Pièce jointe","संलग्न","Atașament"
avatar,"Avatar","Avatar","अवतार","Avatar"
avatarDialogMessage,"Admin requested to update your avatar.","L'administrateur a demandé de mettre à jour votre avatar.","प्रशासनिक अवतार अपडेट करने के लिए अनुरोध किया गया है।","Administratorul a solicitat să vă actualizati avatarul"
billing,"Billing","Facturation","बिलिंग","Facturare"
billingAddress,"Billing address","Adresse de facturation","बिलिंग पता","Adresa facturare"
